trial_num,question,dimension,low_end,high_end,labels
1,My thoughts were focused on an external task or activity.,focus,not at all: 0,completely: 10,"['not at all', 'completely']"
2,My thoughts involved future events.,future,not at all: 0,completely: 10,"['not at all', 'completely']"
3,My thoughts involved past events.,past,not at all: 0,completely: 10,"['not at all', 'completely']"
4,My thoughts involved myself.,self,not at all: 0,completely: 10,"['not at all', 'completely']"
5,My thoughts involved other people.,other,not at all: 0,completely: 10,"['not at all', 'completely']"
6,The content of my thoughts was:,emotion,negative: 0,positive: 10,"['negative', 'positive']"
7,My thoughts were in the form of:,modality,images: 0,words: 10,"['images', 'words']"
8,I was thinking about solutions to problems (or goals).,problem,not at all: 0,completely: 10,"['not at all', 'completely']"
9,My thoughts were intrusive.,intrusiveness,not at all: 0,completely: 10,"['not at all', 'completely']"
10,My thoughts were detailed and specific.,detail,not at all: 0,completely: 10,"['not at all', 'completely']"
11,My thoughts were linked to information from:,source,my environment: 0,my memory: 10,"['my environment', 'my memory']"
12,I was absorbed in the contents of my thoughts.,absorption,not at all: 0,completely: 10,"['not at all', 'completely']"
13,My thoughts were:,deliberation,spontaneous: 0,deliberate: 10,"['spontaenous', 'deliberate']"
14,My thoughts were distracting me from what I was doing.,distraction,not at all: 0,completely: 10,"['not at all', 'completely']"