trial_num,prime,target,foil1,foil2,prime_target_obj_index,prime_target_subj_index,condition
1,semantic/ListA/walrus.jpg,semantic/ListA/cougar.jpg,semantic/ListA/walnuts.jpg,semantic/ListA/stove.jpg,0.7452575,strong,E
2,semantic/ListA/earring.jpg,semantic/ListA/scarf.jpg,semantic/ListA/shovel.jpg,semantic/ListA/flute.jpg,0.42778197,medium,D
3,semantic/ListA/falcon.jpg,semantic/ListA/mosquito.jpg,semantic/ListA/kettle.jpg,semantic/ListA/hook.jpg,0.35063612,medium,D
4,semantic/ListA/stick.jpg,semantic/ListA/bow.jpg,semantic/ListA/tissue.jpg,semantic/ListA/trap.jpg,0.80226904,strong,E
5,semantic/ListA/bread.jpg,semantic/ListA/biscuit.jpg,semantic/ListA/dart.jpg,semantic/ListA/fly.jpg,0.94906795,strong,E
6,semantic/ListA/jar.jpg,semantic/ListA/vase.jpg,semantic/ListA/juice.jpg,semantic/ListA/igloo.jpg,0.90745705,strong,E
7,semantic/ListA/chimpanzee.jpg,semantic/ListA/orangutan.jpg,semantic/ListA/milk.jpg,semantic/ListA/hammer.jpg,0.7437302,strong,E
8,semantic/ListA/faucet.jpg,semantic/ListA/hose.jpg,semantic/ListA/knife.jpg,semantic/ListA/thermometer.jpg,0.39054054,medium,D
9,semantic/ListA/armadillo.jpg,semantic/ListA/skunk.jpg,semantic/ListA/mask.jpg,semantic/ListA/lantern.jpg,0.7060736,strong,E
10,semantic/ListA/pencil.jpg,semantic/ListA/paintbrush.jpg,semantic/ListA/brush.jpg,semantic/ListA/button.jpg,0.48814768,medium,D
11,semantic/ListA/asparagus.jpg,semantic/ListA/avocado.jpg,semantic/ListA/bus.jpg,semantic/ListA/fan.jpg,0.847801,strong,E
12,semantic/ListA/beetle.jpg,semantic/ListA/wasp.jpg,semantic/ListA/raincoat.jpg,semantic/ListA/necklace.jpg,0.7940909,strong,E
13,semantic/ListA/rope.jpg,semantic/ListA/ladder.jpg,semantic/ListA/blanket.jpg,semantic/ListA/dynamite.jpg,0.49127808,medium,D
14,semantic/ListA/eagle.jpg,semantic/ListA/iguana.jpg,semantic/ListA/cow.jpg,semantic/ListA/ball.jpg,0.54328805,medium,D
15,semantic/ListA/goose.jpg,semantic/ListA/caterpillar.jpg,semantic/ListA/raisins.jpg,semantic/ListA/nutcracker.jpg,0.47478345,medium,D
16,semantic/ListA/fox.jpg,semantic/ListA/hippopotamus.jpg,semantic/ListA/domino.jpg,semantic/ListA/cricket.jpg,0.4193175,medium,D
17,semantic/ListA/buffalo.jpg,semantic/ListA/goat.jpg,semantic/ListA/lollipop.jpg,semantic/ListA/helmet.jpg,0.73946404,strong,E
18,semantic/ListA/elephant.jpg,semantic/ListA/squid.jpg,semantic/ListA/worm.jpg,semantic/ListA/wagon.jpg,0.33545473,medium,D
19,semantic/ListA/banjo.jpg,semantic/ListA/harmonica.jpg,semantic/ListA/pin.jpg,semantic/ListA/sheep.jpg,0.7498268,strong,E
20,semantic/ListA/cockroach.jpg,semantic/ListA/grasshopper.jpg,semantic/ListA/gloves.jpg,semantic/ListA/pan.jpg,0.8089889,strong,E
21,semantic/ListA/flippers.jpg,semantic/ListA/mittens.jpg,semantic/ListA/oar.jpg,semantic/ListA/thermostat.jpg,0.37179607,medium,D
22,semantic/ListA/garlic.jpg,semantic/ListA/radish.jpg,semantic/ListA/ladle.jpg,semantic/ListA/pie.jpg,0.54558796,medium,D
23,semantic/ListA/tent.jpg,semantic/ListA/nest.jpg,semantic/ListA/koala.jpg,semantic/ListA/ruler.jpg,0.34394652,medium,D
24,semantic/ListA/puppy.jpg,semantic/ListA/kitten.jpg,semantic/ListA/marker.jpg,semantic/ListA/cauliflower.jpg,0.81910866,strong,E
1,semantic/ListA/cat.jpg,semantic/ListA/tiger.jpg,semantic/ListA/plane.jpg,semantic/ListA/boot.jpg,0.8973502,strong,E
2,semantic/ListA/porcupine.jpg,semantic/ListA/penguin.jpg,semantic/ListA/match.jpg,semantic/ListA/rattle.jpg,0.54479766,medium,D
3,semantic/ListA/ant.jpg,semantic/ListA/spider.jpg,semantic/ListA/sponge.jpg,semantic/ListA/mop.jpg,0.72511834,strong,E
4,semantic/ListA/rug.jpg,semantic/ListA/broom.jpg,semantic/ListA/mirror.jpg,semantic/ListA/beaver.jpg,0.38502163,medium,D
5,semantic/ListA/giraffe.jpg,semantic/ListA/centipede.jpg,semantic/ListA/kiwi.jpg,semantic/ListA/skate.jpg,0.36831602,medium,D
6,semantic/ListA/sweater.jpg,semantic/ListA/shirt.jpg,semantic/ListA/straw.jpg,semantic/ListA/parachute.jpg,0.848733,strong,E
7,semantic/ListA/pony.jpg,semantic/ListA/hyena.jpg,semantic/ListA/taxi.jpg,semantic/ListA/moth.jpg,0.3638032,medium,D
8,semantic/ListA/television.jpg,semantic/ListA/radio.jpg,semantic/ListA/teapot.jpg,semantic/ListA/tray.jpg,0.718086,strong,E
9,semantic/ListA/van.jpg,semantic/ListA/sled.jpg,semantic/ListA/gun.jpg,semantic/ListA/door.jpg,0.3880078,medium,D
10,semantic/ListA/apple.jpg,semantic/ListA/peach.jpg,semantic/ListA/computer.jpg,semantic/ListA/sloth.jpg,0.80211127,strong,E
11,semantic/ListA/bison.jpg,semantic/ListA/reindeer.jpg,semantic/ListA/football.jpg,semantic/ListA/rice.jpg,0.71097535,strong,E
12,semantic/ListA/toaster.jpg,semantic/ListA/refrigerator.jpg,semantic/ListA/soap.jpg,semantic/ListA/calculator.jpg,0.4885705,medium,D
13,semantic/ListA/raspberry.jpg,semantic/ListA/mango.jpg,semantic/ListA/notebook.jpg,semantic/ListA/butterfly.jpg,0.76612973,strong,E
14,semantic/ListA/egg.jpg,semantic/ListA/oyster.jpg,semantic/ListA/needle.jpg,semantic/ListA/balloon.jpg,0.39262682,medium,D
15,semantic/ListA/potato.jpg,semantic/ListA/mushroom.jpg,semantic/ListA/crow.jpg,semantic/ListA/bear.jpg,0.67373794,strong,E
16,semantic/ListA/blueberries.jpg,semantic/ListA/grapes.jpg,semantic/ListA/ostrich.jpg,semantic/ListA/bee.jpg,0.7884075,strong,E
17,semantic/ListA/mug.jpg,semantic/ListA/goblet.jpg,semantic/ListA/wok.jpg,semantic/ListA/pebbles.jpg,0.5976379,medium,D
18,semantic/ListA/antelope.jpg,semantic/ListA/leopard.jpg,semantic/ListA/clock.jpg,semantic/ListA/outlet.jpg,0.7123303,strong,E
19,semantic/ListA/rat.jpg,semantic/ListA/mouse.jpg,semantic/ListA/bell.jpg,semantic/ListA/dress.jpg,0.7246847,strong,E
20,semantic/ListA/eggplant.jpg,semantic/ListA/croissant.jpg,semantic/ListA/scorpion.jpg,semantic/ListA/bowl.jpg,0.5348037,medium,D
21,semantic/ListA/dolphin.jpg,semantic/ListA/chick.jpg,semantic/ListA/orchid.jpg,semantic/ListA/dinghy.jpg,0.44643596,medium,D
22,semantic/ListA/watermelon.jpg,semantic/ListA/lettuce.jpg,semantic/ListA/icicles.jpg,semantic/ListA/leaf.jpg,0.81943804,strong,E
23,semantic/ListA/rooster.jpg,semantic/ListA/hamster.jpg,semantic/ListA/nuts.jpg,semantic/ListA/crown.jpg,0.35526872,medium,D
24,semantic/ListA/fries.jpg,semantic/ListA/pretzel.jpg,semantic/ListA/pear.jpg,semantic/ListA/blender.jpg,0.48439157,medium,D