region_names,moments_1,moments_2,moments_3,moments_4
L_V1_ROI,19925.4204415755,3618.38096046395,-1.51381105322284,4.61514706516823
L_MST_ROI,19360.4725158849,2068.20492874962,-1.13024177819428,4.36504033365826
L_V6_ROI,19083.5147859926,3443.0061798863,-1.16016320892476,3.68787588925485
L_V2_ROI,19800.3977056877,3438.38239163575,-1.24853617861331,4.04940071424188
L_V3_ROI,20182.6509154751,3770.74320469406,-1.14574915885886,3.70437550179885
L_V4_ROI,20043.5905901129,3675.32756850253,-1.04848245480159,3.56301018490307
L_V8_ROI,21051.2082576914,3867.54200259244,-0.862626272927186,3.00905667367206
L_4_ROI,17854.3973801814,2770.90718575107,-1.72642030728328,5.28259840151065
L_3b_ROI,18229.4266659681,3502.0981280598,-1.34815751384467,4.01200773589705
L_FEF_ROI,16181.7530897209,2013.27090017209,-1.75084950474512,5.76774570418879
L_PEF_ROI,16364.4911159582,1922.89806797303,-2.01656156545064,6.88809617227814
L_55b_ROI,16252.548210575,2249.6587559738,-1.95668577634527,6.15373320941833
L_V3A_ROI,19248.5147824048,3988.56337988794,-1.08683352469842,3.62612242550796
L_RSC_ROI,17979.1569326616,2356.12778388327,-1.59988745787295,4.92987867241635
L_POS2_ROI,20194.2937609897,3607.05404328274,-1.18562644400784,3.89772651522078
L_V7_ROI,18058.0118623278,3248.93470345445,-1.18391774391476,4.00601788529956
L_IPS1_ROI,20305.5079705695,3381.3596568375,-1.21103646484607,4.0850209792688
L_FFC_ROI,20730.8045245926,3316.26212634617,-0.980042934463901,3.39413479822616
L_V3B_ROI,18920.5013784677,3566.64670424902,-1.02699477900475,3.72306416511463
L_LO1_ROI,19672.8820178279,3598.79204067012,-1.21722455907108,4.02701223342396
L_LO2_ROI,20107.7017852072,3067.81538947154,-1.15218639475598,3.97762055767369
L_PIT_ROI,19750.603257201,3089.83810471528,-1.42562592399888,4.63896128963105
L_MT_ROI,19472.942206384,2769.0982174605,-1.28069191788556,4.20403173153873
L_A1_ROI,17855.3823991876,3651.07957958274,-1.61340485573242,4.60784087607626
L_PSL_ROI,19446.2620739858,2983.81406162476,-1.3169881929503,4.32726695689797
L_SFL_ROI,16769.5085985537,2530.94080461549,-1.95097780088616,6.00209828936755
L_PCV_ROI,18596.4393802146,2618.71051388715,-1.34349629529728,4.37125976885619
L_STV_ROI,19617.500285365,2987.25118931287,-1.21729047098077,4.00843581520751
L_7Pm_ROI,20918.0635647087,3430.67249178527,-1.16833527436553,3.8140406586183
L_7m_ROI,19707.824341895,3345.98913149236,-1.17031984757257,3.78797024079741
L_POS1_ROI,18479.7147728479,2813.00413387709,-1.38043192777686,4.38804571725789
L_23d_ROI,17470.5109147513,2404.89004338291,-1.83305500729576,5.67353266798546
L_v23ab_ROI,18218.2648241817,2356.16790786388,-1.51812508038525,5.03982933697767
L_d23ab_ROI,17935.6476001069,2158.21545568681,-1.93613949293172,6.21725019140732
L_31pv_ROI,17717.9143103405,1959.77703059801,-1.79384745293159,6.18335542423809
L_5m_ROI,16751.4082575101,2858.39768214832,-1.66638573391343,5.01746209702575
L_5mv_ROI,17062.2402821909,2381.9580465333,-1.60390809216814,5.2527824351554
L_23c_ROI,17317.9308462513,2419.59110666442,-1.56343929028853,5.02948631658982
L_5L_ROI,18317.6515348711,2931.21171301013,-1.49399858357973,4.59507090556601
L_24dd_ROI,16851.3026144545,2756.55676413584,-1.65565117836523,4.92025385652279
L_24dv_ROI,16163.559420781,2486.66625162318,-1.63270130801215,5.07293081356585
L_7AL_ROI,18689.8763819206,2880.0032753437,-1.48119305015647,4.69835524313668
L_SCEF_ROI,16642.1491342737,2560.02019782639,-1.90665377222221,5.82297063936571
L_6ma_ROI,17312.0391221791,2419.71688098036,-1.95236509528776,6.25542560845616
L_7Am_ROI,20172.6652090329,3311.82552259477,-1.40700033908802,4.40879314406934
L_7PL_ROI,20919.3980497082,3475.41100459975,-1.24702093551843,4.08158497858206
L_7PC_ROI,17880.2144611168,2952.93010207344,-1.50958466532987,4.66634352764321
L_LIPv_ROI,17836.6128530316,2805.80860338689,-1.32082390293372,4.12866012137669
L_VIP_ROI,19887.5215511853,3658.76390175881,-1.29556162744955,4.06185801282392
L_MIP_ROI,18175.3515872649,2868.75930732378,-1.12970956796021,3.84586535655441
L_1_ROI,18372.437690986,3339.62531063991,-1.57937336443953,4.70786602314065
L_2_ROI,18085.3267557819,2715.73449901117,-1.52532232420371,4.89812943178114
L_3a_ROI,17411.4766431645,2711.86081658123,-1.44324120339251,4.59700710198268
L_6d_ROI,17666.2199615201,2720.02110982212,-1.90993159023491,6.23579946002243
L_6mp_ROI,17795.143838628,2495.75559678721,-1.75345711268917,5.46914777347418
L_6v_ROI,17332.10660538,2398.65105860447,-1.65146875349094,5.20986932492089
L_p24pr_ROI,16265.0931286518,2906.87238812695,-1.48807886260045,4.4891514627949
L_33pr_ROI,15581.9528287738,1909.01224225428,-1.72528502602638,5.34245726258828
L_a24pr_ROI,16147.8607260984,2164.6087895118,-1.94367952730685,6.22928397173258
L_p32pr_ROI,15920.8233863381,2437.51040987062,-1.82748635499052,5.58805577792717
L_a24_ROI,15033.829800699,1869.23847185173,-2.23299739469209,7.17572869737236
L_d32_ROI,15296.1324244997,1935.82785436898,-2.11092726902706,6.64553309307988
L_8BM_ROI,16749.7654144951,2576.64063009889,-1.86206578700593,5.70683481598005
L_p32_ROI,15216.3753070401,1843.72519064999,-2.10826622960994,7.31403429644529
L_10r_ROI,15469.504736001,2062.02817475683,-2.15878860563922,7.05980332885894
L_47m_ROI,17162.9232135452,2086.37929112792,-1.9712212329324,6.19470608816605
L_8Av_ROI,16560.303831277,2592.12361630764,-1.81144438459793,5.58061763019845
L_8Ad_ROI,16505.8856366368,2136.73799200624,-1.61770421984662,5.35198793631914
L_9m_ROI,14155.7259486146,2012.65167602664,-2.02690983620274,6.35980321579326
L_8BL_ROI,16179.0940383361,2627.26660879689,-1.86237581671599,5.82831668472046
L_9p_ROI,15040.4941950404,2304.83973004884,-1.75079320004708,5.5203062051038
L_10d_ROI,13589.2496172426,1836.35931894898,-1.87918379635498,5.99413041996769
L_8C_ROI,16689.8652040334,2225.53251702775,-1.6618578772683,5.39534613153097
L_44_ROI,17312.6383881571,2259.06567590878,-1.90449325466661,6.27564749535374
L_45_ROI,17245.594032833,2352.65975342654,-2.03776878375575,6.43337798156752
L_47l_ROI,16916.9859878716,2448.93013072018,-2.08204529252705,6.39319922618808
L_a47r_ROI,15629.9086841806,2087.90126591219,-2.01176132631713,6.36162223652213
L_6r_ROI,17593.7350269072,2408.71745228458,-1.75525714127531,5.67637364883502
L_IFJa_ROI,15878.3556904575,1841.83613065421,-1.85632681547046,6.41660953347522
L_IFJp_ROI,15905.6538627408,1677.43187939863,-1.92161650714385,6.7431720906065
L_IFSp_ROI,17071.8192318839,2372.59083907967,-1.69726433977161,5.45812934989593
L_IFSa_ROI,17523.5424011436,2409.51293791094,-1.78618809222005,5.66044577159729
L_p9-46v_ROI,17068.9990976494,2556.16127840964,-1.75571051265859,5.3773626299604
L_46_ROI,16143.4215500363,2322.14829024893,-1.79958571700951,5.53392614530463
L_a9-46v_ROI,15084.8842665669,1957.20141350676,-1.94508286082484,6.15836267924477
L_9-46d_ROI,15638.5890968162,1964.0456086107,-1.62064963904245,5.17323726375684
L_9a_ROI,14116.6759939125,2059.64117146172,-1.8666090392326,5.89716912786318
L_10v_ROI,15138.9929144785,2112.86520478595,-1.80608841788991,5.65255725263469
L_a10p_ROI,14235.3475420126,1630.3660213485,-1.91120275497202,6.18037006637373
L_10pp_ROI,14459.0462593401,1821.32500806742,-1.84421053669648,5.7213203902556
L_11l_ROI,16085.9371692776,1976.47510672131,-1.81245137427319,5.73619714662527
L_13l_ROI,16877.0512506283,1990.4003094607,-1.93050736992508,6.10409319339193
L_OFC_ROI,16910.6483124152,2614.49036243002,-1.76874661863525,5.40475553336397
L_47s_ROI,16333.6847228252,2016.38168058299,-2.18719590884587,6.90496292567832
L_LIPd_ROI,17173.2790958701,2221.18977827775,-1.29407592856964,4.47012582097671
L_6a_ROI,16566.2869647008,1479.09621360147,-2.00657700394728,7.30328252671986
L_i6-8_ROI,16223.1490933382,1870.57118967216,-1.94920405266452,6.50687451571635
L_s6-8_ROI,15931.6778754315,2380.77002907598,-2.09892514353347,6.61670618795413
L_43_ROI,19139.5055091453,2732.45011596997,-1.56378136271125,5.01616689199254
L_OP4_ROI,18318.2425621246,2647.16757452405,-1.74043331800436,5.37730958695574
L_OP1_ROI,17558.547678025,2751.69467899099,-1.92562672397231,5.98222075677646
L_OP2-3_ROI,16657.5325886366,2854.25216516542,-1.56836492875907,4.71554739245388
L_52_ROI,14864.5767349197,2747.7440037196,-1.53802634888342,4.69240958749533
L_RI_ROI,16203.5785132007,2392.81982144207,-1.66662843686675,5.64041431223414
L_PFcm_ROI,18036.9153935478,2340.18989514754,-1.67177419196859,5.55679689468883
L_PoI2_ROI,15477.6993470999,1864.94103895474,-1.76939566120292,5.29713394512742
L_TA2_ROI,18101.7862399443,3014.85418558836,-1.44321493531881,4.4036117261652
L_FOP4_ROI,15002.4189397424,2179.5407977027,-2.01042822582934,6.22048350382388
L_MI_ROI,15342.0577479438,1689.49372181,-2.2086866326603,7.01302356634286
L_Pir_ROI,13991.5223293664,1162.23559628352,-2.02165352671816,6.58238807309656
L_AVI_ROI,16187.4207655554,1603.82163001657,-2.31593074520423,7.8038184432949
L_AAIC_ROI,15135.8537193327,1387.80894226609,-1.99282388360579,6.37546058846498
L_FOP1_ROI,17274.7545801752,2624.58491002268,-1.7174598393139,5.42447623745649
L_FOP3_ROI,14261.7971099433,1950.8003850772,-1.78343656036094,5.6445288910328
L_FOP2_ROI,15785.8863924674,2608.6705909084,-1.7187398137315,5.30151295425961
L_PFt_ROI,18475.7097003893,2385.26639657499,-1.61290479548978,5.32152238540725
L_AIP_ROI,16453.3695578791,1891.9445736134,-1.40555106885438,4.82363587691542
L_EC_ROI,18028.43172174,1036.72090091438,-2.49189345465012,8.82637334626558
L_PreS_ROI,12987.0334543436,2611.1367701292,-0.690427321194552,2.21364801378753
L_H_ROI,17550.5513141187,2328.43637026638,-1.45593552274069,5.10808483834612
L_ProS_ROI,18412.0562598423,3152.14553379274,-1.35377431504464,4.10932039786567
L_PeEc_ROI,17964.3935274804,1758.74201035203,-2.31486922563618,7.98545185056389
L_STGa_ROI,16253.8039227744,2162.84892385671,-1.84384223062959,5.82215718243965
L_PBelt_ROI,19996.0935148579,2823.02890773462,-1.43615021211447,4.59348811953168
L_A5_ROI,18896.7171618597,2604.32820853621,-1.66469722403433,5.38260340204966
L_PHA1_ROI,17145.5894855626,2082.04046319655,-1.51227364381305,4.6315405792546
L_PHA3_ROI,18803.2078068182,2638.05733851298,-1.42079704795596,4.56703571216481
L_STSda_ROI,19154.9501050267,2412.30108228125,-1.57310174216072,5.40552381236637
L_STSdp_ROI,18184.5280646133,2389.12145898152,-1.46132165032723,5.09659373311652
L_STSvp_ROI,19255.2477360477,2434.91586899039,-1.11631747592013,3.91525891753512
L_TGd_ROI,17425.1475166242,1732.41717112512,-1.5242127466456,5.49320201089851
L_TE1a_ROI,19026.8122440765,2381.13523907759,-1.53230417881802,5.11488268172786
L_TE1p_ROI,19409.7913203731,2552.20039049867,-1.20901951067607,4.1365379253394
L_TE2a_ROI,18652.2031709651,2075.55254179061,-1.4225512253856,4.86871785811047
L_TF_ROI,18415.3669872078,2179.74470891364,-1.37867830813857,4.79840691990631
L_TE2p_ROI,18278.5723005596,2316.07322235142,-1.18947552860498,4.16594173154676
L_PHT_ROI,20956.5318495305,3022.15570387621,-1.05013043927546,3.6058809065839
L_PH_ROI,20276.3647917177,2919.54528271636,-1.04495244186967,3.6438501236329
L_TPOJ1_ROI,18141.4771309216,2382.42491668218,-1.29369414198631,4.41312279240489
L_TPOJ2_ROI,20274.6364432214,2823.76763959956,-1.16389458692567,4.09406071238464
L_TPOJ3_ROI,19192.3179486575,2520.54006178321,-1.20796774507324,4.29480590673317
L_DVT_ROI,18709.0151409286,2713.85295955808,-1.24009184171645,4.27792275486246
L_PGp_ROI,19356.5067320802,3138.77170828157,-1.2315741440455,4.17639223572498
L_IP2_ROI,17520.5509079138,2116.71620223912,-1.58155149391869,5.39535283578902
L_IP1_ROI,19584.0877001964,2976.0563869594,-1.14318848300834,3.93483830830406
L_IP0_ROI,18990.5714038946,2793.53426288825,-1.07527370372474,4.03805202601058
L_PFop_ROI,18655.489800927,2907.88130016898,-1.63643352109475,5.10237046911055
L_PF_ROI,18685.7721370308,2721.20075626275,-1.47460372228902,4.74898890697275
L_PFm_ROI,18954.8161251895,2961.16205542053,-1.44548874368896,4.66845682516712
L_PGi_ROI,18693.7188448645,2349.52693932737,-1.29583539230577,4.55884173623396
L_PGs_ROI,19788.5568794373,2981.22428895456,-1.23331401113013,4.16344079102453
L_V6A_ROI,18675.1449462097,3306.35676349101,-1.40906988081187,4.53648853642787
L_VMV1_ROI,19704.3525961535,3487.59519769988,-0.99900960038621,3.26762261097712
L_VMV3_ROI,21655.8376744257,3456.47744493826,-0.763475193211631,2.92987839513932
L_PHA2_ROI,17241.5098789417,2477.37134941723,-1.35161126069419,4.51851491264549
L_V4t_ROI,20447.0013328819,2951.87837512348,-1.33334902700654,4.59438028031247
L_FST_ROI,19530.2810795385,2664.59031429205,-1.35230787399638,4.58102100048806
L_V3CD_ROI,19327.2833236731,3936.66098941956,-1.1324653861675,3.71958432425919
L_LO3_ROI,20033.0523081836,3479.02669524013,-1.29654569496167,4.27637504235795
L_VMV2_ROI,18808.5394395305,2874.68504251908,-0.987261835260588,3.50763198869079
L_31pd_ROI,17797.2784412606,2245.09618567972,-1.47757984193432,5.00365350895434
L_31a_ROI,17806.2197608216,2738.75424554261,-1.5701002464356,4.83387750775061
L_VVC_ROI,20418.4399748697,3228.17541408125,-0.986316726014774,3.16791606510574
L_25_ROI,16289.6479541966,2160.70433512712,-1.49018501460986,4.98902650048642
L_s32_ROI,17416.1821260764,2040.2600937096,-1.72386936352801,5.93479780201916
L_pOFC_ROI,16192.4847563933,2121.29783770401,-1.38777492797753,4.27844356967659
L_PoI1_ROI,15808.828461457,2215.94022306602,-1.34975413780313,4.51665871694099
L_Ig_ROI,16000.5656091052,2382.1169305568,-1.89351504018846,5.95406341934239
L_FOP5_ROI,15975.0798962157,2214.05668546604,-2.08040928697109,6.63413055909324
L_p10p_ROI,13599.4222453432,1753.21357614684,-1.82303517441327,5.82611037404397
L_p47r_ROI,16832.756483114,2195.80812081077,-1.77554025488222,5.57995711727201
L_TGv_ROI,18346.9294444392,1975.15175906142,-1.5302772469918,5.32852818849921
L_MBelt_ROI,16827.2009588814,3146.58485639185,-1.63594518141059,4.82155811481338
L_LBelt_ROI,18794.249801816,3153.62026497128,-1.626246235866,5.0969709900293
L_A4_ROI,19545.6083593257,2673.58496820839,-1.654251240533,5.34184432471263
L_STSva_ROI,19470.8796785411,2254.73785854809,-1.26134405038605,4.54771992309967
L_TE1m_ROI,19361.5120322217,2509.57466226655,-1.38373692205097,4.65286451154954
L_PI_ROI,15671.0027355654,2870.22916605431,-1.1583260680154,3.80825748659818
L_a32pr_ROI,15546.9937255115,2101.51283272978,-2.00977271551294,6.25824268780388
